date,model,horizon,forecast,actual
2005-01-01,RW,1,0.018457744985300728,0.014218979162354076
2005-01-01,AR(1) on YoY,1,0.016289016835794597,0.014218979162354076
2005-01-01,AR_lags,1,0.06755649081016206,0.014218979162354076
2005-01-01,AR+_lags,1,0.06636208219567569,0.014218979162354076
2005-01-01,AR_ranks,1,0.09455500478193946,0.014218979162354076
2005-02-01,RW,1,0.014218979162354076,-0.010288242248424062
2005-02-01,AR(1) on YoY,1,0.012371903726444238,-0.010288242248424062
2005-02-01,AR_lags,1,-0.008503910546668951,-0.010288242248424062
2005-02-01,AR+_lags,1,-0.009269562804526434,-0.010288242248424062
2005-02-01,AR_ranks,1,-0.01234719636059246,-0.010288242248424062
2005-03-01,RW,1,-0.010288242248424062,0.0003293452970713299
2005-03-01,AR(1) on YoY,1,-0.01034791805511857,0.0003293452970713299
2005-03-01,AR_lags,1,0.021927908283480443,0.0003293452970713299
2005-03-01,AR+_lags,1,0.023531934074484007,0.0003293452970713299
2005-03-01,AR_ranks,1,-0.011806300468295026,0.0003293452970713299
2005-04-01,RW,1,0.0003293452970713299,0.011410043354305918
2005-04-01,AR(1) on YoY,1,-0.0005041385007566899,0.011410043354305918
2005-04-01,AR_lags,1,0.027982708374419258,0.011410043354305918
2005-04-01,AR+_lags,1,0.02821753798851433,0.011410043354305918
2005-04-01,AR_ranks,1,-0.04219989476425083,0.011410043354305918
2005-05-01,RW,1,0.011410043354305918,0.011396186071969497
2005-05-01,AR(1) on YoY,1,0.009774890819298963,0.011396186071969497
2005-05-01,AR_lags,1,0.02194325789473053,0.011396186071969497
2005-05-01,AR+_lags,1,0.020724468469772866,0.011396186071969497
2005-05-01,AR_ranks,1,-0.02952908563671141,0.011396186071969497
2005-06-01,RW,1,0.011396186071969497,-0.04159408530342764
2005-06-01,AR(1) on YoY,1,0.009775738386986069,-0.04159408530342764
2005-06-01,AR_lags,1,-0.012255778346590493,-0.04159408530342764
2005-06-01,AR+_lags,1,-0.013709722250284072,-0.04159408530342764
2005-06-01,AR_ranks,1,-0.012604313977565614,-0.04159408530342764
2005-07-01,RW,1,-0.04159408530342764,-0.024874329765337915
2005-07-01,AR(1) on YoY,1,-0.03928064791743189,-0.024874329765337915
2005-07-01,AR_lags,1,-0.0076774832709254216,-0.024874329765337915
2005-07-01,AR+_lags,1,-0.005099951127314196,-0.024874329765337915
2005-07-01,AR_ranks,1,-0.018369876658320718,-0.024874329765337915
2005-08-01,RW,1,-0.024874329765337915,-0.030462272955356084
2005-08-01,AR(1) on YoY,1,-0.023803978792845897,-0.030462272955356084
2005-08-01,AR_lags,1,-0.026089570315982757,-0.030462272955356084
2005-08-01,AR+_lags,1,-0.02476173139697782,-0.030462272955356084
2005-08-01,AR_ranks,1,-0.06170740907786783,-0.030462272955356084
2005-09-01,RW,1,-0.030462272955356084,-0.028767081946723394
2005-09-01,AR(1) on YoY,1,-0.028985207801360685,-0.028767081946723394
2005-09-01,AR_lags,1,-0.020656297640274567,-0.028767081946723394
2005-09-01,AR+_lags,1,-0.02106896624915601,-0.028767081946723394
2005-09-01,AR_ranks,1,-0.04116958573843563,-0.028767081946723394
2005-10-01,RW,1,-0.028767081946723394,-0.07350075872207817
2005-10-01,AR(1) on YoY,1,-0.02742874297450093,-0.07350075872207817
2005-10-01,AR_lags,1,-0.08662719540303734,-0.07350075872207817
2005-10-01,AR+_lags,1,-0.08575821180841652,-0.07350075872207817
2005-10-01,AR_ranks,1,-0.04282185171333855,-0.07350075872207817
2005-11-01,RW,1,-0.07350075872207817,-0.08748916110264589
2005-11-01,AR(1) on YoY,1,-0.06893537752226367,-0.08748916110264589
2005-11-01,AR_lags,1,-0.1133420532650904,-0.08748916110264589
2005-11-01,AR+_lags,1,-0.10916598605101507,-0.08748916110264589
2005-11-01,AR_ranks,1,-0.04395290821085267,-0.08748916110264589
2005-12-01,RW,1,-0.08748916110264589,-0.03605783399601344
2005-12-01,AR(1) on YoY,1,-0.08210606242611969,-0.03605783399601344
2005-12-01,AR_lags,1,-0.046307567552166716,-0.03605783399601344
2005-12-01,AR+_lags,1,-0.04466804817401375,-0.03605783399601344
2005-12-01,AR_ranks,1,-0.08144861350686707,-0.03605783399601344
2006-01-01,RW,1,-0.03605783399601344,-0.011206142298325616
2006-01-01,AR(1) on YoY,1,-0.034197785733704314,-0.011206142298325616
2006-01-01,AR_lags,1,-0.026496265611500276,-0.011206142298325616
2006-01-01,AR+_lags,1,-0.030161993845960598,-0.011206142298325616
2006-01-01,AR_ranks,1,-0.08649002360447891,-0.011206142298325616
2006-02-01,RW,1,-0.011206142298325616,-0.004793485005675595
2006-02-01,AR(1) on YoY,1,-0.01128387874463234,-0.004793485005675595
2006-02-01,AR_lags,1,-0.03038784208417676,-0.004793485005675595
2006-02-01,AR+_lags,1,-0.03063729479216109,-0.004793485005675595
2006-02-01,AR_ranks,1,-0.01863012807431451,-0.004793485005675595
2006-03-01,RW,1,-0.004793485005675595,-0.014464404830468366
2006-03-01,AR(1) on YoY,1,-0.0053764474899074335,-0.014464404830468366
2006-03-01,AR_lags,1,-0.01360180828466027,-0.014464404830468366
2006-03-01,AR+_lags,1,-0.014568789188786862,-0.014464404830468366
2006-03-01,AR_ranks,1,-0.001832088648844498,-0.014464404830468366
2006-04-01,RW,1,-0.014464404830468366,-0.005261296387034283
2006-04-01,AR(1) on YoY,1,-0.01427910586816169,-0.005261296387034283
2006-04-01,AR_lags,1,-0.011133814388451922,-0.005261296387034283
2006-04-01,AR+_lags,1,-0.011027757611305715,-0.005261296387034283
2006-04-01,AR_ranks,1,-0.0002485332229185608,-0.005261296387034283
2006-05-01,RW,1,-0.005261296387034283,0.006433317734762707
2006-05-01,AR(1) on YoY,1,-0.005804929367105069,0.006433317734762707
2006-05-01,AR_lags,1,-0.010139011960028676,0.006433317734762707
2006-05-01,AR+_lags,1,-0.010518352173174452,0.006433317734762707
2006-05-01,AR_ranks,1,-0.00039312791043015147,0.006433317734762707
2006-06-01,RW,1,0.006433317734762707,0.04842752492356291
2006-06-01,AR(1) on YoY,1,0.004967195352861768,0.04842752492356291
2006-06-01,AR_lags,1,0.03308693216258253,0.04842752492356291
2006-06-01,AR+_lags,1,0.03176172970311055,0.04842752492356291
2006-06-01,AR_ranks,1,-0.00020173770574034855,0.04842752492356291
