year_month \ category,All items,Housing,"Fuel, light & water charges",Furniture & household utensils,Clothes & footwear,Medical care,Transpor- tation & communi- cation,Education,Culture & recreation,Miscella- neous
Weights,10000,2149,693,387,353,477,1493,304,911,607
197001,582,21,6,48,64,29,42,14,74,48
197002,30.3,25.4,30.2,70.9,26.5,35.3,39,14.6,37.7,27.4
197003,30.3,25.5,30.2,70.9,26.2,37.5,39.2,14.6,37.9,27.5
197004,30.6,25.7,30.3,71.3,26.3,37.5,39.2,14.6,37.9,27.7
197005,30.9,26,30.4,71.8,26.8,37.6,39.4,15.2,38.5,27.8
197006,30.8,26.2,30.3,72.1,27.3,37.6,39.5,15.2,38.5,28
197007,30.8,26.4,30.3,72.1,27.3,37.7,39.5,15.2,38.5,28
197008,30.8,26.5,30.3,72.1,27.8,37.9,39.6,15.2,38.4,28.2
197009,30.7,26.6,30.3,72.4,27,37.9,39.6,15.2,38.6,28.3
197010,31.2,26.9,30.4,73.7,28.4,37.9,39.6,15.2,38.8,28.3
197011,31.7,27,30.5,73.6,29,37.9,40.2,15.2,38.9,28.4
197012,31.7,27.2,30.8,73.9,29.1,38,40.3,15.2,39.3,28.6
197101,31.9,27.3,31,74.2,29.4,38.1,40.4,15.2,39.6,28.7
197102,32.2,27.5,31.1,74.5,29.3,38.1,40.5,15.2,39.6,28.9
197103,32.2,27.7,31.2,74.6,28.7,38.1,40.6,15.6,39.7,29
197104,32.3,27.8,31.2,75,28.8,38.2,40.7,15.6,39.7,29.1
197105,32.7,28.1,31.3,75.6,29.4,38.2,41,16.5,41.8,29.2
197106,32.8,28.7,31.4,75.6,30.1,38.2,41.2,16.5,41.7,29.2
197107,32.9,29,31.4,75.6,30.9,38.2,41.2,16.5,41.6,29.3
197108,32.9,29.1,31.5,75.6,30.8,38.2,41.4,16.5,41.6,29.4
197109,32.9,29,31.5,75.6,29.8,38.2,41.4,16.5,41.7,29.5
197110,33.7,29.1,31.6,76.5,31.1,38.3,41.4,16.5,41.7,29.6
197111,33.8,29.3,31.7,76.5,31.3,38.4,41.4,16.5,41.8,29.7
197112,33.5,29.6,31.7,76.6,31.6,38.4,41.4,16.5,41.8,29.8
197201,33.5,29.8,31.8,76.9,31.5,38.4,41.5,16.5,42.1,29.8
197202,33.5,29.9,31.8,76.5,31.2,38.4,41.6,16.5,42.3,29.9
197203,33.7,30.1,31.7,76.5,30.6,41.8,42.2,16.5,42.3,30
197204,34,30.2,31.7,76.5,30.7,41.8,42.3,16.5,42.6,30.1
197205,34.4,30.8,31.7,76.9,30.8,41.8,42.4,17.7,43.3,30.2
197206,34.5,31.2,31.7,76.9,31.3,42.1,42.5,17.7,43.6,30.3
197207,34.5,31.5,31.7,76.8,32.3,42.2,42.6,17.7,43.3,30.4
197208,34.5,31.8,31.7,76.8,32.5,42.2,42.7,17.7,43.3,30.5
197209,34.8,31.9,32.2,76.6,31.8,42.2,43,17.7,43.5,30.6
197210,35,32.1,32.3,77.1,32.8,42.2,43,17.7,43.4,30.8
197211,35.2,32.4,32.3,77.4,33.3,42.2,43.2,17.9,43.5,30.9
197212,35.1,32.6,32.5,77.7,33.4,42.3,43.2,17.9,43.8,31.1
197301,35.4,32.8,32.5,78,33.6,42.3,43.3,17.9,44.2,31.3
197302,35.7,33,32.5,78.3,33.8,42.3,43.6,17.9,44.4,31.6
197303,36,33.3,32.6,78.9,33.9,42.3,44.1,17.9,44.7,31.4
197304,36.9,33.7,32.7,79.8,35.5,42.3,44.5,18.3,45,31.7
197305,37.6,34.2,33,81.6,36.9,42.3,44.8,19.8,45.4,31.9
197306,38.2,34.5,33.1,82.4,39.2,42.4,44.9,19.9,45.9,32.1
197307,38.3,34.9,33.1,83,39.8,42.5,45.3,19.9,47.2,32.4
197308,38.6,35.4,33.2,83.4,39.9,42.5,45.4,19.9,48.2,32.6
197309,38.9,35.7,33.4,84.1,39.4,42.5,45.4,19.9,48.7,32.9
