year_month \ category,All items,Cereals,Fish & seafood,Meats,Dairy products & eggs,Vegetables & seaweeds,Fruits,"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Rent,Repairs & maintenance,Electric-ity,Gas,Other fuel & light,Water & sewerage charges,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non- durable goods,Domestic services,Clothes,"Shirts, sweaters & underwear",Footwear,Other clothing,Services related to clothing,Medicines & health for- tification,Medical supplies & appliances,Medical services,Public transpor- tation,Private transpor- tation,Communi- cation,School fees,School textbooks & reference books for study,Tutorial fees,Recreational durable goods,Recreational goods,Books & other reading materials,Recre- ational services,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscella- neous
Weights,10000,214,199,249,126,285,105,121,236,352,163,119,460,1833,316,341,151,38,163,132,21,27,74,105,28,152,105,48,29,20,128,91,259,167,885,441,213,7,84,77,206,110,518,110,161,63,39,233
197001,582,13,29,9,7,44,17,20,17,29,17,9,25,4,17,1,2,1,2,13,4,5,11,11,4,28,19,6,7,4,13,12,4,14,22,6,9,2,3,9,29,6,30,6,23,8,2,9
197002,30.3,32.9,20.4,34,48.4,23.4,27.5,45.3,25.4,19.9,51.8,42.5,21.7,27.6,18,54.9,26,17,- ,205.1,69.6,57.7,27.5,65.2,17.4,24.4,29.4,25.7,36.5,22.6,48.2,49.2,24.7,18.9,45.7,87.1,13.6,25.9,- ,2021.4,35.5,17.9,23.2,14.1,65.9,22.8,20.2,11.7
197003,30.3,33,20,34,48.2,24.3,28.6,45.5,25.6,20.6,51.8,42.5,21.7,27.7,18.1,54.9,26.1,17.2,- ,205.5,69.7,57.4,27.6,65.4,17.5,23.8,29.4,25.8,36.6,22.6,48.2,49.2,27,19,45.7,87.1,13.6,25.9,- ,2017,36,18,23.2,14.3,66.2,22.9,20.2,11.7
197004,30.6,33,20.4,33.8,47.1,25.5,31.1,45.5,25.8,21.6,51.9,42.5,22,27.9,18.2,54.9,26.2,17.2,- ,207.4,70,57.4,27.8,65.6,17.6,23.9,29.4,26.1,36.7,22.8,48.3,49.4,27,19.2,45.9,87.1,13.6,25.9,- ,2014.8,36.2,18,23.2,14.3,66.5,23.1,20.2,11.7
197005,30.9,33.1,20.1,34,45.8,26.7,31.6,45.8,25.9,23.5,52,42.5,22.2,28.2,18.5,54.9,26.2,17.3,- ,210,70.4,57.6,27.9,65.6,17.7,24.7,29.5,26.4,37,23.1,48.3,49.8,27,19.3,46.1,87.1,14.2,25.9,- ,2014.8,36,18,24.1,14.5,66.8,23.4,20.2,11.7
197006,30.8,33.2,19.7,34.2,43.5,25.4,28.1,46.1,26,24.4,52.4,42.5,22.4,28.4,18.6,54.9,26,17.3,- ,210,71.7,57.4,28.1,65.7,17.8,25.4,29.7,26.6,37.1,23.3,48.3,50,27,19.3,46.2,87.1,14.2,25.9,- ,2012.6,36,18,24.1,14.8,67.3,23.5,20.2,11.7
197007,30.8,33.3,19.4,34.1,43.1,22.1,32.9,46.6,26.2,24.1,52.7,42.6,22.5,28.6,18.8,54.9,26,17.3,- ,209.6,71.8,57.8,28.2,65.8,17.9,25.5,29.6,26.6,37.3,23.4,48.4,50.4,27,19.3,46.2,87.1,14.2,25.9,- ,2010.5,35.7,18.1,24.1,14.8,67.5,23.5,20.2,11.7
197008,30.8,33.5,20.2,34.4,43.3,20.8,30.8,46.9,26.3,24.4,52.9,42.6,22.6,28.9,18.4,54.9,26,17.3,- ,208.5,71.8,58.2,28.4,65.8,18,26.4,29.7,26.7,37.4,23.6,48.5,51,27.3,19.3,46.3,87.1,14.2,25.9,- ,2006.1,35.6,18,24.2,15,67.6,23.6,20.2,11.7
197009,30.7,33.6,20.7,34.5,43.1,20.6,25.2,47.3,26.4,24.7,53,42.6,22.7,29.1,18.5,54.9,26,17.3,- ,208.9,71.8,58.8,28.5,66,18,24.7,30,26.8,37.6,23.7,48.5,51.7,27.1,19.4,46.3,87.1,14.2,25.9,- ,2017,36,18.1,24.2,15.1,67.8,23.7,20.2,11.7
197010,31.2,33.8,20.9,34.5,44.6,22.4,28.9,48.1,26.6,24.7,53.4,42.9,22.8,29.2,18.7,54.9,26,17.6,- ,216,72.5,59.6,28.8,66.2,18.1,26.8,31.2,27.1,38.1,24,48.7,52.2,27.1,19.4,46.4,87.1,14.2,25.9,- ,2006.1,35.9,18,24.5,15.2,67.9,23.9,20.2,11.7
